Weapon,Autocannon,TextData\Images\Weapons.png,352,128,0,0,64,64
Weapon,Howitzer,TextData\Images\Weapons.png,352,128,64,0,64,64
Weapon,HVGun,TextData\Images\Weapons.png,352,128,0,64,64,64
Weapon,TorpedoWeapon,TextData\Images\Weapons.png,352,128,64,64,64,64
Size,Light,TextData\Images\Weapons.png,352,128,320,0,32,32
Size,Medium,TextData\Images\Weapons.png,352,128,320,32,32,32
Size,Heavy,TextData\Images\Weapons.png,352,128,320,64,32,32
Ammo,KineticPenetrator,TextData\Images\Weapons.png,352,128,128,0,64,64
Ammo,ShrapnelRound,TextData\Images\Weapons.png,352,128,128,64,64,64
Ammo,ShapedCharge,TextData\Images\Weapons.png,352,128,192,64,64,64
Torpedo,LongRange,TextData\Images\Weapons.png,352,128,256,64,64,64
Torpedo,Heavy,TextData\Images\Weapons.png,352,128,192,0,64,64
Torpedo,Tracking,TextData\Images\Weapons.png,352,128,256,0,64,64
